Date,Open,High,Low,Close,Adj Close,Volume,BB_upper,BB_mid,BB_lower,MACD,MACD_signal,RSI,RSI_ema,RSI_signal,MACD_flip,BB_width,BB_diverging,Signal,PnL,ROI
2021-08-10,107.9000015258789,109.16999816894531,104.36000061035156,106.4800033569336,106.4800033569336,113012300,119.67725137023879,98.73650016784669,77.79574896545458,6.11773181232104,5.424377233803405,61.19730936039494,68.82287737437143,0,0,41.881502404784214,1,2.947198249760425,,
2021-08-11,107.5999984741211,109.79000091552734,105.62000274658203,107.68000030517578,107.68000030517578,91788300,120.459245462409,99.66800003051758,78.87675459862615,5.837788495294802,5.507059486101684,62.55293437288415,67.98688497417312,0,0,41.58249086378285,-1,0.16203027067171183,,
2021-08-12,107.38999938964844,108.44000244140625,105.86000061035156,106.5,106.5,60578700,120.77930794273458,100.6465000152588,80.51369208778301,5.4578011029634155,5.49720780947403,60.32124031875087,66.96479902011683,0,-1,40.26561585495156,-1,0.1592281583117694,,
2021-08-13,107.16999816894531,111.70999908447266,106.56999969482422,110.55000305175781,110.55000305175781,100135700,121.25251776338354,101.87950019836425,82.50648263334497,5.4209701860010995,5.481960284779444,64.94405573528375,66.69536658213909,0,0,38.746035130038564,-1,0.15489130489888958,,
2021-08-16,110.19999694824219,111.58000183105469,105.87000274658203,107.4800033569336,107.4800033569336,73325400,121.10151614647535,102.9245002746582,84.74748440284105,5.085436355905031,5.402655499004561,59.30380169914535,65.70982459773992,0,0,36.354031743634295,-1,0.1323346448681879,,
2021-08-17,106.63999938964844,108.69999694824219,105.3499984741211,107.55999755859375,107.55999755859375,74053900,120.69512746036904,103.9470001220703,87.19887278377158,4.770981338658444,5.276320666935338,59.40273918034884,64.86887987542111,0,0,33.49625467659746,-1,0.09640122888103075,,
2021-08-18,107.3499984741211,108.06999969482422,103.2699966430664,103.44000244140625,103.44000244140625,79387900,120.02113538477363,104.64850006103515,89.27586473729667,4.1415827107989145,5.049373075708053,52.3444345562149,63.19895383286028,0,0,30.745270647476957,-1,0.03185052604410532,-24.797474392267507,-0.02854997013229705
2021-08-19,103.31999969482422,106.18000030517578,101.9800033569336,103.69999694824219,103.69999694824219,71117500,119.3733257044275,105.27299995422364,91.17267420401977,3.6220069064879112,4.763899841864025,52.72617382256334,61.80258316482069,0,0,28.20065150040773,-1,-0.049346625184114146,,
2021-08-20,104.31999969482422,105.9800033569336,103.98999786376953,104.6500015258789,104.6500015258789,55227600,118.6609029985995,105.89799995422364,93.13509690984777,3.2494392550986078,4.461007724510941,54.17075554008098,60.78500614818873,0,0,25.52580608875172,-1,-0.13549822940768608,,
2021-08-23,105.30000305175781,109.0199966430664,104.86000061035156,108.7699966430664,108.7699966430664,68835300,117.792233476804,106.74549980163575,95.69876612646749,3.2491714548957447,4.218640470587902,59.89450860218836,60.666273142055346,0,0,22.09346735033651,-1,-0.2044347468687573,-42.46498566255695,-0.048891030318493754
2021-08-24,109.44999694824219,109.61000061035156,107.27999877929688,107.6500015258789,107.6500015258789,51239300,115.94526987094065,107.57649993896484,99.20773000698904,3.1225897051617864,3.9994303175026786,57.781829243462646,60.28168062224299,0,0,16.73753986395161,-1,-0.26678469019320517,,
2021-08-25,108.12999725341797,109.91000366210938,107.44999694824219,108.30000305175781,108.30000305175781,45485500,115.1981431072768,108.09500007629394,100.99185704531108,3.03968287532453,3.8074808290670488,58.692493914942915,60.069789061269645,0,0,14.206286061965727,-1,-0.32138088273573495,,
2021-08-26,108.56999969482422,109.2300033569336,106.83999633789062,107.2699966430664,107.2699966430664,51442500,115.02739281610836,108.31100006103516,101.59460730596196,2.8579213677749493,3.617568936808629,56.608710519453574,59.60831192236083,0,0,13.432785510146402,-1,-0.37539752180239194,,
2021-08-27,108.01000213623047,111.77999877929688,107.80000305175781,111.4000015258789,111.4000015258789,61030000,115.34255241243187,108.57150001525879,101.80044761808571,3.0124058027365237,3.496536309994208,62.376674169378475,59.97742688862985,1,0,13.542104794346159,1,3.194366565522767,-30.25652307266404,-0.0348351133009367
2021-08-30,112.61000061035156,114.48999786376953,111.26000213623047,111.31999969482422,111.31999969482422,56130500,115.58240582244281,108.7060001373291,101.82959445221539,3.092729293146661,3.4157749066246987,62.20418033533838,60.27432734819099,0,0,13.75281137022742,1,2.3758914945835428,,
2021-08-31,111.26000213623047,111.26000213623047,109.02999877929688,110.72000122070312,110.72000122070312,49339000,115.32903420934198,108.61400032043457,101.89896643152716,3.0725528983170562,3.3471305049631703,60.84520179666505,60.35044394132086,0,0,13.430067777814827,-1,-0.4523183243336574,,
2021-09-01,111.30000305175781,111.8499984741211,109.8499984741211,109.98999786376953,109.98999786376953,38579600,113.08118198535641,108.17500038146973,103.26881877758305,2.9634964477029655,3.2704036935111294,59.151950218828375,60.19064477832186,-1,0,9.812363207773359,-1,-1.2696458363033223,,
2021-09-02,110.31999969482422,110.87999725341797,108.7699966430664,109.19999694824219,109.19999694824219,40090500,112.5667194262811,108.01750030517579,103.46828118407048,2.7812613042714673,3.172575215663197,57.29376112437862,59.80439362446276,0,0,9.09843824221062,-1,-0.5019670848571023,-16.541124075543493,-0.01904422163487124
2021-09-03,108.8499984741211,111.16999816894531,108.5,109.91999816894531,109.91999816894531,42605800,112.54046327964161,108.00800018310547,103.47553708656932,2.6642251917898108,3.0709052108885198,58.57112406108628,59.63995768267923,0,0,9.064926193072296,-1,-0.5308850840751083,,
2021-09-07,109.95999908447266,110.58000183105469,108.66000366210938,109.1500015258789,109.1500015258789,28815200,112.64092325167972,108.08650016784668,103.53207708401364,2.4807444575861837,2.9528730602280526,56.620658944290724,59.23738451756076,0,0,9.108846167666087,1,2.244228323505913,,
2021-09-08,108.87999725341797,109.30000305175781,105.5199966430664,106.16999816894531,106.16999816894531,43067900,112.6492351771997,108.07099990844726,103.49276463969483,2.071000087983677,2.7764984657791776,49.719891305832306,57.96838542266364,0,0,9.156470537504873,1,2.1940620980232612,,
2021-09-09,106.55999755859375,107.30000305175781,105.83999633789062,106.1500015258789,106.1500015258789,31857900,112.64684346847494,107.99449996948242,103.3421564704899,1.7247789825748896,2.56615456913832,49.67613956395984,56.86275264150313,0,0,9.304686997985044,1,2.1342339839983504,,
2021-09-10,106.98999786376953,106.98999786376953,104.9800033569336,105.19999694824219,105.19999694824219,32602300,112.69841409046424,107.92949981689453,103.16058554332483,1.3580836888667847,2.324540393084013,47.53600470151505,55.619186249504715,0,0,9.537828547139412,1,2.0655116644737044,,
2021-09-13,105.26000213623047,105.27999877929688,102.62999725341797,104.80000305175781,104.80000305175781,37767800,112.43754576167285,107.64199981689453,102.8464538721162,1.0234017241181732,2.064312659290845,46.625197743505645,54.41998778203817,0,0,9.591091889556651,1,1.9914950907653435,,
2021-09-14,105.5199966430664,106.81999969482422,104.41999816894531,105.7300033569336,105.7300033569336,40629500,112.42199747281998,107.55449981689453,102.68700216096909,0.8237118703933533,1.8161925015113467,49.068646792214885,53.70647565006173,0,0,9.734995311850895,1,1.920922274873963,,
2021-09-15,106.0,106.31999969482422,104.02999877929688,105.5999984741211,105.5999984741211,37998900,112.39796993958922,107.4564998626709,102.51502978575257,0.6475019160496203,1.5824543844190013,48.73279352912495,53.04331803393683,0,0,9.882940153836643,1,1.8544401427812716,,
2021-09-16,104.91999816894531,106.75,103.76000213623047,106.22000122070312,106.22000122070312,38150300,112.2236936243129,107.59549980163574,102.96730597895858,0.5515256533589366,1.3762686382069884,50.47379514140857,52.700714981599724,0,0,9.256387645354323,-1,-1.0128905604416707,,
2021-09-17,105.55999755859375,105.9800033569336,103.70999908447266,103.87999725341797,103.87999725341797,44528300,112.20296232083716,107.60449981689453,103.0060373129519,0.28337839997614367,1.1576905905608195,44.35198018593414,51.58755034217764,0,0,9.196925007885255,-1,-1.0750607140175807,,
2021-09-20,101.58000183105469,102.51000213623047,99.51000213623047,101.55000305175781,101.55000305175781,45228400,112.61044279931167,107.44949989318847,102.28855698706528,-0.11580634625364894,0.9029912031979258,39.24752451472634,49.94221356518413,0,0,10.321885812246393,1,1.6611804317508574,66.13788221518821,0.07614624505654512
2021-09-21,102.1500015258789,103.43000030517578,101.18000030517578,102.81999969482422,102.81999969482422,35481500,112.64918288132623,107.15200004577636,101.6548172102265,-0.32592792409501214,0.6572073777393382,43.09204200002938,49.028857356496836,0,0,10.994365671099729,1,1.5912721388559972,,
2021-09-22,102.81999969482422,104.55999755859375,102.20999908447266,104.37999725341797,104.37999725341797,34126300,112.60982428902084,106.98849983215332,101.36717537528581,-0.36239456389377267,0.45328698941271606,47.48789647104113,48.82339590510274,0,0,11.242648913735025,1,1.5332710632857371,,
2021-09-23,104.88999938964844,106.86000061035156,103.88999938964844,106.1500015258789,106.1500015258789,32816700,112.48007747693805,106.88099975585938,101.2819220347807,-0.24563851848118645,0.31350188783393557,52.01681449530463,49.24918505046299,1,0,11.198155442157343,-1,-0.5196691995714326,,
2021-09-24,105.19000244140625,106.05000305175781,104.68000030517578,105.80000305175781,105.80000305175781,26482600,112.42279255080487,106.80750007629395,101.19220760178302,-0.1792837911678049,0.21494475203358746,51.07870943286341,49.493121634783044,0,0,11.230584949021846,1,1.465479381270747,,
2021-09-27,105.06999969482422,108.44000244140625,103.44000244140625,108.16000366210938,108.16000366210938,51944300,111.89661177873651,106.64550018310547,101.39438858747442,0.06300880787975416,0.1845575632028208,56.74356796795531,50.459847812539344,0,0,10.50222319126209,-1,-1.3518489386913295,,
2021-09-28,106.83999633789062,107.6500015258789,101.41999816894531,101.5199966430664,101.5199966430664,74469000,111.39932883802155,106.15550003051757,100.9116712230136,-0.27756602695399124,0.09213284517145838,42.00555341754629,49.332608559873606,-1,0,10.487657615007947,-1,-2.173641406192286,,
2021-09-29,102.30000305175781,102.66000366210938,99.80999755859375,100.3499984741211,100.3499984741211,52224700,111.02181246504139,105.63699989318847,100.25218732133555,-0.634568204167465,-0.053207364696326295,40.03251066528116,48.09259550726128,0,0,10.769625143705838,1,1.3892088753423977,-20.865142824483968,-0.024022575647094275
2021-09-30,102.08000183105469,104.44000244140625,101.98999786376953,102.9000015258789,102.9000015258789,57636700,110.40129287337282,105.28250007629394,100.16370727921506,-0.7036201713122381,-0.18328992601950866,45.98729347855152,47.81188857009998,0,0,10.237585594157764,-1,-1.4564757991823034,,
2021-10-01,102.5999984741211,103.0,100.63999938964844,102.44999694824219,102.44999694824219,41491600,109.87264384843904,104.94500007629395,100.01735630414886,-0.7856000529458527,-0.30375195140477745,45.13550977589273,47.45503806420568,0,0,9.855287544290178,-1,-1.4907388127782097,,
2021-10-04,101.73999786376953,101.8499984741211,99.81999969482422,100.33999633789062,100.33999633789062,41967100,109.22572681262677,104.46599998474122,99.70627315685566,-1.009195734790012,-0.44484070808182435,41.275128158011995,46.63105007671319,0,0,9.519453655771116,-1,-1.5308686875067343,,
2021-10-05,100.91999816894531,102.87000274658203,100.61000061035156,101.80999755859375,101.80999755859375,31455200,108.47382990693744,104.09899978637695,99.72416966581646,-1.0556116760672154,-0.5669949016789025,44.81626551059171,46.389078801230326,0,0,8.749660241120978,-1,-1.5656130045031302,,
2021-10-06,100.44999694824219,103.72000122070312,100.3499984741211,103.63999938964844,103.63999938964844,39071700,108.24560867568364,103.97249984741211,99.69939101914058,-0.9339646272849649,-0.640388846800115,48.94377348141413,46.72970475858816,1,0,8.546217656543064,-1,-0.7909843389711422,,
